,Vector ID,Year,Province,Labour force characteristics,Sex,Unit of Measure,Value,Coordinate
5955,v1063543160,2020,Prince Edward Island,Full-time employment,Males,Persons,3.6,3.4.2.15
5956,v1063543161,2020,Prince Edward Island,Full-time employment,Males,Persons,4.3,3.4.2.16
5957,v1063543162,2020,Prince Edward Island,Full-time employment,Males,Persons,3.8,3.4.2.17
5958,v1063543163,2020,Prince Edward Island,Full-time employment,Males,Persons,2.8,3.4.2.18
5959,v1063543164,2020,Prince Edward Island,Full-time employment,Males,Persons,2.5,3.4.2.19
5960,v1063543165,2020,Prince Edward Island,Full-time employment,Males,Persons,1.6,3.4.2.20
5961,v1063543166,2020,Prince Edward Island,Full-time employment,Males,Persons,0.9,3.4.2.21
5962,v1063543168,2020,Prince Edward Island,Full-time employment,Females,Persons,29.2,3.4.3.1
5963,v1063543169,2020,Prince Edward Island,Full-time employment,Females,Persons,3.1,3.4.3.2
5964,v1063543170,2020,Prince Edward Island,Full-time employment,Females,Persons,26.1,3.4.3.3
5965,v1063543171,2020,Prince Edward Island,Full-time employment,Females,Persons,12.3,3.4.3.4
5966,v1063543189,2020,Prince Edward Island,Full-time employment,Females,Persons,13.0,3.4.3.22
5967,v1063543172,2020,Prince Edward Island,Full-time employment,Females,Persons,13.8,3.4.3.5
5968,v1063543173,2020,Prince Edward Island,Full-time employment,Females,Persons,19.6,3.4.3.6
5969,v1063543174,2020,Prince Edward Island,Full-time employment,Females,Persons,6.5,3.4.3.7
5970,v1063543175,2020,Prince Edward Island,Full-time employment,Females,Persons,28.4,3.4.3.8
5971,v1063543176,2020,Prince Edward Island,Full-time employment,Females,Persons,0.6,3.4.3.9
5972,v1063543177,2020,Prince Edward Island,Full-time employment,Females,Persons,2.5,3.4.3.10
5973,v1063543178,2020,Prince Edward Island,Full-time employment,Females,Persons,3.0,3.4.3.11
5974,v1063543179,2020,Prince Edward Island,Full-time employment,Females,Persons,3.2,3.4.3.12
5975,v1063543180,2020,Prince Edward Island,Full-time employment,Females,Persons,3.1,3.4.3.13
5976,v1063543181,2020,Prince Edward Island,Full-time employment,Females,Persons,3.1,3.4.3.14
5977,v1063543182,2020,Prince Edward Island,Full-time employment,Females,Persons,3.5,3.4.3.15
5978,v1063543183,2020,Prince Edward Island,Full-time employment,Females,Persons,3.7,3.4.3.16
5979,v1063543184,2020,Prince Edward Island,Full-time employment,Females,Persons,3.5,3.4.3.17
5980,v1063543185,2020,Prince Edward Island,Full-time employment,Females,Persons,2.2,3.4.3.18
5981,v1063543186,2020,Prince Edward Island,Full-time employment,Females,Persons,0.8,3.4.3.19
5982,v1063543187,2020,Prince Edward Island,Full-time employment,Females,Persons,0.5,3.4.3.20
5983,v1063543188,2020,Prince Edward Island,Full-time employment,Females,Persons,0.3,3.4.3.21
5984,v1063543212,2020,Prince Edward Island,Part-time employment,Males,Persons,4.1,3.5.2.1
5985,v1063543213,2020,Prince Edward Island,Part-time employment,Males,Persons,1.6,3.5.2.2
5986,v1063543214,2020,Prince Edward Island,Part-time employment,Males,Persons,2.5,3.5.2.3
5987,v1063543215,2020,Prince Edward Island,Part-time employment,Males,Persons,0.8,3.5.2.4
5988,v1063543233,2020,Prince Edward Island,Part-time employment,Males,Persons,0.8,3.5.2.22
5989,v1063543216,2020,Prince Edward Island,Part-time employment,Males,Persons,1.6,3.5.2.5
5990,v1063543217,2020,Prince Edward Island,Part-time employment,Males,Persons,1.2,3.5.2.6
5991,v1063543218,2020,Prince Edward Island,Part-time employment,Males,Persons,1.3,3.5.2.7
5992,v1063543219,2020,Prince Edward Island,Part-time employment,Males,Persons,3.3,3.5.2.8
5993,v1063543220,2020,Prince Edward Island,Part-time employment,Males,Persons,1.0,3.5.2.9
5994,v1063543221,2020,Prince Edward Island,Part-time employment,Males,Persons,0.6,3.5.2.10
5995,v1063543222,2020,Prince Edward Island,Part-time employment,Males,Persons,,3.5.2.11
5996,v1063543223,2020,Prince Edward Island,Part-time employment,Males,Persons,0.2,3.5.2.12
5997,v1063543224,2020,Prince Edward Island,Part-time employment,Males,Persons,0.3,3.5.2.13
5998,v1063543225,2020,Prince Edward Island,Part-time employment,Males,Persons,,3.5.2.14
5999,v1063543226,2020,Prince Edward Island,Part-time employment,Males,Persons,,3.5.2.15
6000,v1063543227,2020,Prince Edward Island,Part-time employment,Males,Persons,,3.5.2.16
6001,v1063543228,2020,Prince Edward Island,Part-time employment,Males,Persons,,3.5.2.17
6002,v1063543229,2020,Prince Edward Island,Part-time employment,Males,Persons,0.3,3.5.2.18
6003,v1063543230,2020,Prince Edward Island,Part-time employment,Males,Persons,0.8,3.5.2.19
6004,v1063543231,2020,Prince Edward Island,Part-time employment,Males,Persons,0.3,3.5.2.20
6005,v1063543232,2020,Prince Edward Island,Part-time employment,Males,Persons,0.5,3.5.2.21
6006,v1063543234,2020,Prince Edward Island,Part-time employment,Females,Persons,7.7,3.5.3.1
6007,v1063543235,2020,Prince Edward Island,Part-time employment,Females,Persons,2.3,3.5.3.2
6008,v1063543236,2020,Prince Edward Island,Part-time employment,Females,Persons,5.3,3.5.3.3
6009,v1063543237,2020,Prince Edward Island,Part-time employment,Females,Persons,2.3,3.5.3.4
6010,v1063543255,2020,Prince Edward Island,Part-time employment,Females,Persons,2.3,3.5.3.22
6011,v1063543238,2020,Prince Edward Island,Part-time employment,Females,Persons,3.1,3.5.3.5
6012,v1063543239,2020,Prince Edward Island,Part-time employment,Females,Persons,3.3,3.5.3.6
6013,v1063543240,2020,Prince Edward Island,Part-time employment,Females,Persons,2.0,3.5.3.7
6014,v1063543241,2020,Prince Edward Island,Part-time employment,Females,Persons,6.9,3.5.3.8
6015,v1063543242,2020,Prince Edward Island,Part-time employment,Females,Persons,1.3,3.5.3.9
6016,v1063543243,2020,Prince Edward Island,Part-time employment,Females,Persons,1.0,3.5.3.10
6017,v1063543244,2020,Prince Edward Island,Part-time employment,Females,Persons,,3.5.3.11
6018,v1063543245,2020,Prince Edward Island,Part-time employment,Females,Persons,0.5,3.5.3.12
6019,v1063543246,2020,Prince Edward Island,Part-time employment,Females,Persons,0.7,3.5.3.13
6020,v1063543247,2020,Prince Edward Island,Part-time employment,Females,Persons,,3.5.3.14
6021,v1063543248,2020,Prince Edward Island,Part-time employment,Females,Persons,,3.5.3.15
6022,v1063543249,2020,Prince Edward Island,Part-time employment,Females,Persons,,3.5.3.16
6023,v1063543250,2020,Prince Edward Island,Part-time employment,Females,Persons,,3.5.3.17
6024,v1063543251,2020,Prince Edward Island,Part-time employment,Females,Persons,0.6,3.5.3.18
6025,v1063543252,2020,Prince Edward Island,Part-time employment,Females,Persons,0.8,3.5.3.19
6026,v1063543253,2020,Prince Edward Island,Part-time employment,Females,Persons,0.4,3.5.3.20
6027,v1063543254,2020,Prince Edward Island,Part-time employment,Females,Persons,0.4,3.5.3.21
6028,v1063543608,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,89.7,3.11.2.1
6029,v1063543609,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,73.3,3.11.2.2
6030,v1063543610,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,92.6,3.11.2.3
6031,v1063543611,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,94.7,3.11.2.4
6032,v1063543629,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,94.2,3.11.2.22
6033,v1063543612,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,91.4,3.11.2.5
6034,v1063543613,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,94.9,3.11.2.6
6035,v1063543614,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,87.6,3.11.2.7
6036,v1063543615,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,91.0,3.11.2.8
6037,v1063543616,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,44.4,3.11.2.9
6038,v1063543617,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,85.7,3.11.2.10
6039,v1063543618,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,95.2,3.11.2.11
6040,v1063543619,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,94.4,3.11.2.12
6041,v1063543620,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,95.0,3.11.2.13
6042,v1063543621,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,94.1,3.11.2.14
6043,v1063543622,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,94.7,3.11.2.15
6044,v1063543623,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,97.7,3.11.2.16
6045,v1063543624,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,95.0,3.11.2.17
6046,v1063543625,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,90.3,3.11.2.18
6047,v1063543626,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,75.8,3.11.2.19
6048,v1063543627,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,84.2,3.11.2.20
6049,v1063543628,2020,Prince Edward Island,Proportion employed full-time,Males,Percentage,64.3,3.11.2.21
6050,v1063543630,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,79.1,3.11.3.1
6051,v1063543631,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,57.4,3.11.3.2
6052,v1063543632,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,83.1,3.11.3.3
6053,v1063543633,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,84.2,3.11.3.4
6054,v1063543651,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,85.0,3.11.3.22
6055,v1063543634,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,82.1,3.11.3.5
6056,v1063543635,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,85.6,3.11.3.6
6057,v1063543636,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,76.5,3.11.3.7
6058,v1063543637,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,80.5,3.11.3.8
6059,v1063543638,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,31.6,3.11.3.9
6060,v1063543639,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,71.4,3.11.3.10
6061,v1063543640,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,85.7,3.11.3.11
6062,v1063543641,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,86.5,3.11.3.12
6063,v1063543642,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,81.6,3.11.3.13
6064,v1063543643,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,83.8,3.11.3.14
6065,v1063543644,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,87.5,3.11.3.15
6066,v1063543645,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,86.0,3.11.3.16
6067,v1063543646,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,83.3,3.11.3.17
6068,v1063543647,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,78.6,3.11.3.18
6069,v1063543648,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,50.0,3.11.3.19
6070,v1063543649,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,55.6,3.11.3.20
6071,v1063543650,2020,Prince Edward Island,Proportion employed full-time,Females,Percentage,42.9,3.11.3.21
6072,v1063543674,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,10.3,3.12.2.1
6073,v1063543675,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,26.7,3.12.2.2
6074,v1063543676,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,7.4,3.12.2.3
6075,v1063543677,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,5.3,3.12.2.4
6076,v1063543695,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,5.2,3.12.2.22
6077,v1063543678,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,8.6,3.12.2.5
6078,v1063543679,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,5.1,3.12.2.6
6079,v1063543680,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,12.4,3.12.2.7
6080,v1063543681,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,9.0,3.12.2.8
6081,v1063543682,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,55.6,3.12.2.9
6082,v1063543683,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,14.3,3.12.2.10
6083,v1063543684,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,,3.12.2.11
6084,v1063543685,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,5.6,3.12.2.12
6085,v1063543686,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,7.5,3.12.2.13
6086,v1063543687,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,,3.12.2.14
6087,v1063543688,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,,3.12.2.15
6088,v1063543689,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,,3.12.2.16
6089,v1063543690,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,,3.12.2.17
6090,v1063543691,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,9.7,3.12.2.18
6091,v1063543692,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,24.2,3.12.2.19
6092,v1063543693,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,15.8,3.12.2.20
6093,v1063543694,2020,Prince Edward Island,Proportion employed part-time,Males,Percentage,35.7,3.12.2.21
6094,v1063543696,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,20.9,3.12.3.1
6095,v1063543697,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,42.6,3.12.3.2
6096,v1063543698,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,16.9,3.12.3.3
6097,v1063543699,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,15.8,3.12.3.4
6098,v1063543717,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,15.0,3.12.3.22
6099,v1063543700,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,18.5,3.12.3.5
6100,v1063543701,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,14.4,3.12.3.6
6101,v1063543702,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,23.5,3.12.3.7
6102,v1063543703,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,19.5,3.12.3.8
6103,v1063543704,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,68.4,3.12.3.9
6104,v1063543705,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,28.6,3.12.3.10
6105,v1063543706,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,,3.12.3.11
6106,v1063543707,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,13.5,3.12.3.12
6107,v1063543708,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,18.4,3.12.3.13
6108,v1063543709,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,,3.12.3.14
6109,v1063543710,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,,3.12.3.15
6110,v1063543711,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,,3.12.3.16
6111,v1063543712,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,,3.12.3.17
6112,v1063543713,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,21.4,3.12.3.18
6113,v1063543714,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,50.0,3.12.3.19
6114,v1063543715,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,44.4,3.12.3.20
6115,v1063543716,2020,Prince Edward Island,Proportion employed part-time,Females,Percentage,57.1,3.12.3.21
6116,v1063543278,2020,Prince Edward Island,Unemployment,Males,Persons,4.6,3.6.2.1
6117,v1063543279,2020,Prince Edward Island,Unemployment,Males,Persons,1.2,3.6.2.2
6118,v1063543280,2020,Prince Edward Island,Unemployment,Males,Persons,3.4,3.6.2.3
6119,v1063543281,2020,Prince Edward Island,Unemployment,Males,Persons,1.5,3.6.2.4
6120,v1063543299,2020,Prince Edward Island,Unemployment,Males,Persons,1.6,3.6.2.22
6121,v1063543282,2020,Prince Edward Island,Unemployment,Males,Persons,1.9,3.6.2.5
6122,v1063543283,2020,Prince Edward Island,Unemployment,Males,Persons,2.3,3.6.2.6
6123,v1063543284,2020,Prince Edward Island,Unemployment,Males,Persons,1.1,3.6.2.7
6124,v1063543285,2020,Prince Edward Island,Unemployment,Males,Persons,4.3,3.6.2.8
6125,v1063543286,2020,Prince Edward Island,Unemployment,Males,Persons,0.5,3.6.2.9
6126,v1063543287,2020,Prince Edward Island,Unemployment,Males,Persons,0.6,3.6.2.10
6127,v1063543288,2020,Prince Edward Island,Unemployment,Males,Persons,0.5,3.6.2.11
6128,v1063543289,2020,Prince Edward Island,Unemployment,Males,Persons,0.3,3.6.2.12
6129,v1063543290,2020,Prince Edward Island,Unemployment,Males,Persons,0.3,3.6.2.13
6130,v1063543291,2020,Prince Edward Island,Unemployment,Males,Persons,0.3,3.6.2.14
6131,v1063543292,2020,Prince Edward Island,Unemployment,Males,Persons,0.3,3.6.2.15
6132,v1063543293,2020,Prince Edward Island,Unemployment,Males,Persons,0.4,3.6.2.16
6133,v1063543294,2020,Prince Edward Island,Unemployment,Males,Persons,0.4,3.6.2.17
6134,v1063543295,2020,Prince Edward Island,Unemployment,Males,Persons,0.4,3.6.2.18
6135,v1063543296,2020,Prince Edward Island,Unemployment,Males,Persons,0.3,3.6.2.19
6136,v1063543297,2020,Prince Edward Island,Unemployment,Males,Persons,,3.6.2.20
6137,v1063543298,2020,Prince Edward Island,Unemployment,Males,Persons,,3.6.2.21
6138,v1063543300,2020,Prince Edward Island,Unemployment,Females,Persons,4.4,3.6.3.1
6139,v1063543301,2020,Prince Edward Island,Unemployment,Females,Persons,1.1,3.6.3.2
6140,v1063543302,2020,Prince Edward Island,Unemployment,Females,Persons,3.3,3.6.3.3
6141,v1063543303,2020,Prince Edward Island,Unemployment,Females,Persons,1.6,3.6.3.4
6142,v1063543321,2020,Prince Edward Island,Unemployment,Females,Persons,1.4,3.6.3.22
6143,v1063543304,2020,Prince Edward Island,Unemployment,Females,Persons,1.7,3.6.3.5
6144,v1063543305,2020,Prince Edward Island,Unemployment,Females,Persons,2.4,3.6.3.6
6145,v1063543306,2020,Prince Edward Island,Unemployment,Females,Persons,0.9,3.6.3.7
6146,v1063543307,2020,Prince Edward Island,Unemployment,Females,Persons,4.1,3.6.3.8
6147,v1063543308,2020,Prince Edward Island,Unemployment,Females,Persons,0.4,3.6.3.9
6148,v1063543309,2020,Prince Edward Island,Unemployment,Females,Persons,0.6,3.6.3.10
6149,v1063543310,2020,Prince Edward Island,Unemployment,Females,Persons,0.5,3.6.3.11
6150,v1063543311,2020,Prince Edward Island,Unemployment,Females,Persons,0.3,3.6.3.12
6151,v1063543312,2020,Prince Edward Island,Unemployment,Females,Persons,0.6,3.6.3.13
6152,v1063543313,2020,Prince Edward Island,Unemployment,Females,Persons,0.3,3.6.3.14
6153,v1063543314,2020,Prince Edward Island,Unemployment,Females,Persons,0.4,3.6.3.15
6154,v1063543315,2020,Prince Edward Island,Unemployment,Females,Persons,0.4,3.6.3.16
6155,v1063543316,2020,Prince Edward Island,Unemployment,Females,Persons,0.3,3.6.3.17
6156,v1063543317,2020,Prince Edward Island,Unemployment,Females,Persons,0.3,3.6.3.18
6157,v1063543318,2020,Prince Edward Island,Unemployment,Females,Persons,0.3,3.6.3.19
6158,v1063543319,2020,Prince Edward Island,Unemployment,Females,Persons,,3.6.3.20
6159,v1063543320,2020,Prince Edward Island,Unemployment,Females,Persons,,3.6.3.21
6160,v1063543344,2020,Prince Edward Island,Not in labour force,Males,Persons,20.4,3.7.2.1
6161,v1063543345,2020,Prince Edward Island,Not in labour force,Males,Persons,3.6,3.7.2.2
6162,v1063543346,2020,Prince Edward Island,Not in labour force,Males,Persons,16.7,3.7.2.3
6163,v1063543347,2020,Prince Edward Island,Not in labour force,Males,Persons,2.0,3.7.2.4
6164,v1063543365,2020,Prince Edward Island,Not in labour force,Males,Persons,4.2,3.7.2.22
6165,v1063543348,2020,Prince Edward Island,Not in labour force,Males,Persons,14.7,3.7.2.5
6166,v1063543349,2020,Prince Edward Island,Not in labour force,Males,Persons,3.0,3.7.2.6
6167,v1063543350,2020,Prince Edward Island,Not in labour force,Males,Persons,13.7,3.7.2.7
6168,v1063543351,2020,Prince Edward Island,Not in labour force,Males,Persons,9.8,3.7.2.8
6169,v1063543352,2020,Prince Edward Island,Not in labour force,Males,Persons,2.4,3.7.2.9
6170,v1063543353,2020,Prince Edward Island,Not in labour force,Males,Persons,1.3,3.7.2.10
6171,v1063543354,2020,Prince Edward Island,Not in labour force,Males,Persons,0.6,3.7.2.11
6172,v1063543355,2020,Prince Edward Island,Not in labour force,Males,Persons,0.5,3.7.2.12
6173,v1063543356,2020,Prince Edward Island,Not in labour force,Males,Persons,0.5,3.7.2.13
6174,v1063543357,2020,Prince Edward Island,Not in labour force,Males,Persons,0.5,3.7.2.14
6175,v1063543358,2020,Prince Edward Island,Not in labour force,Males,Persons,0.4,3.7.2.15
6176,v1063543359,2020,Prince Edward Island,Not in labour force,Males,Persons,0.6,3.7.2.16
6177,v1063543360,2020,Prince Edward Island,Not in labour force,Males,Persons,1.3,3.7.2.17
6178,v1063543361,2020,Prince Edward Island,Not in labour force,Males,Persons,1.9,3.7.2.18
6179,v1063543362,2020,Prince Edward Island,Not in labour force,Males,Persons,10.5,3.7.2.19
6180,v1063543363,2020,Prince Edward Island,Not in labour force,Males,Persons,2.7,3.7.2.20
6181,v1063543364,2020,Prince Edward Island,Not in labour force,Males,Persons,7.9,3.7.2.21
6182,v1063543366,2020,Prince Edward Island,Not in labour force,Females,Persons,26.2,3.7.3.1
6183,v1063543367,2020,Prince Edward Island,Not in labour force,Females,Persons,3.3,3.7.3.2
6184,v1063543368,2020,Prince Edward Island,Not in labour force,Females,Persons,22.9,3.7.3.3
6185,v1063543369,2020,Prince Edward Island,Not in labour force,Females,Persons,2.9,3.7.3.4
6186,v1063543387,2020,Prince Edward Island,Not in labour force,Females,Persons,5.5,3.7.3.22
6187,v1063543370,2020,Prince Edward Island,Not in labour force,Females,Persons,20.0,3.7.3.5
6188,v1063543371,2020,Prince Edward Island,Not in labour force,Females,Persons,4.1,3.7.3.6
6189,v1063543372,2020,Prince Edward Island,Not in labour force,Females,Persons,18.8,3.7.3.7
6190,v1063543373,2020,Prince Edward Island,Not in labour force,Females,Persons,11.8,3.7.3.8
6191,v1063543374,2020,Prince Edward Island,Not in labour force,Females,Persons,2.1,3.7.3.9
6192,v1063543375,2020,Prince Edward Island,Not in labour force,Females,Persons,1.2,3.7.3.10
6193,v1063543376,2020,Prince Edward Island,Not in labour force,Females,Persons,0.9,3.7.3.11
6194,v1063543377,2020,Prince Edward Island,Not in labour force,Females,Persons,0.7,3.7.3.12
6195,v1063543378,2020,Prince Edward Island,Not in labour force,Females,Persons,0.7,3.7.3.13
6196,v1063543379,2020,Prince Edward Island,Not in labour force,Females,Persons,0.7,3.7.3.14
6197,v1063543380,2020,Prince Edward Island,Not in labour force,Females,Persons,0.6,3.7.3.15
6198,v1063543381,2020,Prince Edward Island,Not in labour force,Females,Persons,0.6,3.7.3.16
6199,v1063543382,2020,Prince Edward Island,Not in labour force,Females,Persons,1.6,3.7.3.17
6200,v1063543383,2020,Prince Edward Island,Not in labour force,Females,Persons,2.7,3.7.3.18
6201,v1063543384,2020,Prince Edward Island,Not in labour force,Females,Persons,14.5,3.7.3.19
6202,v1063543385,2020,Prince Edward Island,Not in labour force,Females,Persons,4.1,3.7.3.20
6203,v1063543386,2020,Prince Edward Island,Not in labour force,Females,Persons,10.4,3.7.3.21
6204,v1063543410,2020,Prince Edward Island,Unemployment rate,Males,Percentage,10.3,3.8.2.1
6205,v1063543411,2020,Prince Edward Island,Unemployment rate,Males,Percentage,16.7,3.8.2.2
6206,v1063543412,2020,Prince Edward Island,Unemployment rate,Males,Percentage,9.1,3.8.2.3
6207,v1063543413,2020,Prince Edward Island,Unemployment rate,Males,Percentage,9.0,3.8.2.4
6208,v1063543431,2020,Prince Edward Island,Unemployment rate,Males,Percentage,9.5,3.8.2.22
6209,v1063543414,2020,Prince Edward Island,Unemployment rate,Males,Percentage,9.2,3.8.2.5
6210,v1063543415,2020,Prince Edward Island,Unemployment rate,Males,Percentage,8.9,3.8.2.6
6211,v1063543416,2020,Prince Edward Island,Unemployment rate,Males,Percentage,9.5,3.8.2.7
6212,v1063543417,2020,Prince Edward Island,Unemployment rate,Males,Percentage,10.5,3.8.2.8
6213,v1063543418,2020,Prince Edward Island,Unemployment rate,Males,Percentage,21.7,3.8.2.9
6214,v1063543419,2020,Prince Edward Island,Unemployment rate,Males,Percentage,12.2,3.8.2.10
6215,v1063543420,2020,Prince Edward Island,Unemployment rate,Males,Percentage,10.6,3.8.2.11
6216,v1063543421,2020,Prince Edward Island,Unemployment rate,Males,Percentage,7.7,3.8.2.12
6217,v1063543422,2020,Prince Edward Island,Unemployment rate,Males,Percentage,6.8,3.8.2.13
6218,v1063543423,2020,Prince Edward Island,Unemployment rate,Males,Percentage,8.1,3.8.2.14
6219,v1063543424,2020,Prince Edward Island,Unemployment rate,Males,Percentage,7.3,3.8.2.15
6220,v1063543425,2020,Prince Edward Island,Unemployment rate,Males,Percentage,8.2,3.8.2.16
6221,v1063543426,2020,Prince Edward Island,Unemployment rate,Males,Percentage,9.1,3.8.2.17
6222,v1063543427,2020,Prince Edward Island,Unemployment rate,Males,Percentage,11.4,3.8.2.18
6223,v1063543428,2020,Prince Edward Island,Unemployment rate,Males,Percentage,8.1,3.8.2.19
6224,v1063543429,2020,Prince Edward Island,Unemployment rate,Males,Percentage,,3.8.2.20
6225,v1063543430,2020,Prince Edward Island,Unemployment rate,Males,Percentage,,3.8.2.21
6226,v1063543432,2020,Prince Edward Island,Unemployment rate,Females,Percentage,10.7,3.8.3.1
6227,v1063543433,2020,Prince Edward Island,Unemployment rate,Females,Percentage,16.9,3.8.3.2
6228,v1063543434,2020,Prince Edward Island,Unemployment rate,Females,Percentage,9.5,3.8.3.3
6229,v1063543435,2020,Prince Edward Island,Unemployment rate,Females,Percentage,9.9,3.8.3.4
6230,v1063543453,2020,Prince Edward Island,Unemployment rate,Females,Percentage,8.4,3.8.3.22
6231,v1063543436,2020,Prince Edward Island,Unemployment rate,Females,Percentage,9.2,3.8.3.5
6232,v1063543437,2020,Prince Edward Island,Unemployment rate,Females,Percentage,9.5,3.8.3.6
6233,v1063543438,2020,Prince Edward Island,Unemployment rate,Females,Percentage,9.5,3.8.3.7
6234,v1063543439,2020,Prince Edward Island,Unemployment rate,Females,Percentage,10.4,3.8.3.8
6235,v1063543440,2020,Prince Edward Island,Unemployment rate,Females,Percentage,16.7,3.8.3.9
6236,v1063543441,2020,Prince Edward Island,Unemployment rate,Females,Percentage,14.6,3.8.3.10
6237,v1063543442,2020,Prince Edward Island,Unemployment rate,Females,Percentage,12.8,3.8.3.11
6238,v1063543443,2020,Prince Edward Island,Unemployment rate,Females,Percentage,7.5,3.8.3.12
6239,v1063543444,2020,Prince Edward Island,Unemployment rate,Females,Percentage,13.6,3.8.3.13
6240,v1063543445,2020,Prince Edward Island,Unemployment rate,Females,Percentage,7.7,3.8.3.14
6241,v1063543446,2020,Prince Edward Island,Unemployment rate,Females,Percentage,9.1,3.8.3.15
6242,v1063543447,2020,Prince Edward Island,Unemployment rate,Females,Percentage,8.5,3.8.3.16
6243,v1063543448,2020,Prince Edward Island,Unemployment rate,Females,Percentage,6.7,3.8.3.17
6244,v1063543449,2020,Prince Edward Island,Unemployment rate,Females,Percentage,9.7,3.8.3.18
